suite	core	model	case	opcode	mnemonic	mode	legality	status	detail	failure_class
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$32	???	illegal	illegal	skip	opcode skipped because it is KIL/JAM or one of the seven known unstable NMOS opcodes	skipped_opcode
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$33	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$34	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$35	AND	zero page,X	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$36	ROL	zero page,X	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$37	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$38	SEC	implied	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$39	AND	absolute,Y	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$3A	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$3B	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$3C	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$3D	AND	absolute,X	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$3E	ROL	absolute,X	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$3F	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$40	RTI	implied	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$41	EOR	(zero page,X)	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$42	???	illegal	illegal	skip	opcode skipped because it is KIL/JAM or one of the seven known unstable NMOS opcodes	skipped_opcode
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$43	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$44	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$45	EOR	zero page	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$46	LSR	zero page	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$47	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$48	PHA	implied	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$49	EOR	immediate	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$4A	LSR	accumulator	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$4B	???	illegal	illegal	skip	opcode skipped because it is KIL/JAM or one of the seven known unstable NMOS opcodes	skipped_opcode
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$4C	JMP	absolute	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$4D	EOR	absolute	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$4E	LSR	absolute	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$4F	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$50	BVC	relative	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$51	EOR	(zero page),Y	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$52	???	illegal	illegal	skip	opcode skipped because it is KIL/JAM or one of the seven known unstable NMOS opcodes	skipped_opcode
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$53	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$54	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$55	EOR	zero page,X	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$56	LSR	zero page,X	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$57	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$58	CLI	implied	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$59	EOR	absolute,Y	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$5A	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$5B	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$5C	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$5D	EOR	absolute,X	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$5E	LSR	absolute,X	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$5F	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$60	RTS	implied	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$61	ADC	(zero page,X)	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$62	???	illegal	illegal	skip	opcode skipped because it is KIL/JAM or one of the seven known unstable NMOS opcodes	skipped_opcode
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$63	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$64	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$65	ADC	zero page	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$66	ROR	zero page	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$67	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$68	PLA	implied	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$69	ADC	immediate	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$6A	ROR	accumulator	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$6B	???	illegal	illegal	skip	opcode skipped because it is KIL/JAM or one of the seven known unstable NMOS opcodes	skipped_opcode
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$6C	JMP	indirect	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$6D	ADC	absolute	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$6E	ROR	absolute	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$6F	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$70	BVS	relative	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$71	ADC	(zero page),Y	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$72	???	illegal	illegal	skip	opcode skipped because it is KIL/JAM or one of the seven known unstable NMOS opcodes	skipped_opcode
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$73	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$74	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$75	ADC	zero page,X	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$76	ROR	zero page,X	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$77	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$78	SEI	implied	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$79	ADC	absolute,Y	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$7A	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$7B	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$7C	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$7D	ADC	absolute,X	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$7E	ROR	absolute,X	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$7F	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$80	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$81	STA	(zero page,X)	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$82	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$83	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$84	STY	zero page	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$85	STA	zero page	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$86	STX	zero page	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$87	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$88	DEY	implied	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$89	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$8A	TXA	implied	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$8B	???	illegal	illegal	skip	opcode skipped because it is KIL/JAM or one of the seven known unstable NMOS opcodes	skipped_opcode
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$8C	STY	absolute	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$8D	STA	absolute	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$8E	STX	absolute	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$8F	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$90	BCC	relative	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$91	STA	(zero page),Y	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$92	???	illegal	illegal	skip	opcode skipped because it is KIL/JAM or one of the seven known unstable NMOS opcodes	skipped_opcode
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$93	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$94	STY	zero page,X	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$95	STA	zero page,X	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$96	STX	zero page,Y	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$97	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$98	TYA	implied	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$99	STA	absolute,Y	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$9A	TXS	implied	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$9B	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$9C	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$9D	STA	absolute,X	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$9E	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$9F	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$A0	LDY	immediate	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$A1	LDA	(zero page,X)	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$A2	LDX	immediate	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$A3	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$A4	LDY	zero page	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$A5	LDA	zero page	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$A6	LDX	zero page	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$A7	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$A8	TAY	implied	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$A9	LDA	immediate	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$AA	TAX	implied	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$AB	???	illegal	illegal	skip	opcode skipped because it is KIL/JAM or one of the seven known unstable NMOS opcodes	skipped_opcode
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$AC	LDY	absolute	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$AD	LDA	absolute	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$AE	LDX	absolute	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$AF	???	illegal	illegal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$B0	BCS	relative	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$B1	LDA	(zero page),Y	legal	fail	NMI was not accepted before first opcode after reset	synthetic_boundary
opcode_sweep	Peddle	nmos	first_reset_nmi_reaches_handler	$B2	???	illegal	illegal	skip	opcode skipped because it is KIL/JAM or one of the seven known unstable NMOS opcodes	skipped_opcode
